Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Senior Data Scientist,Employer Provided Salary:$120K - $150K,"Who We Are
Podchaser is the world’s most comprehensive podcast database — collecting, enhancing, and distributing podcast insights to power discovery for listeners, podcasters, and brands.
Job Overview
We are looking for an experienced senior data scientist to join our growing data team. You will be responsible for analyzing our data sets and creating next-generation systems that power many of Podchaser’s features. You can work from anywhere in the world.
You’ll help plan and lead the next generation of products and data initiatives through the planning, implementation, and maintenance of our data systems.
To succeed in this position, you should have the capability of reviewing the project requirements and existing/potential data and then choosing how to solve the problem using a variety of data science approaches including machine learning, NLP, or other techniques. You should also be able to then implement the solution, have strong analytical skills, and the ability to communicate your ideas and results. If you are detail-oriented, with excellent organizational skills, and a lot of experience in this field, we’d like to hear from you.",-1,Podchaser,Remote,-1,-1,-1,-1,-1,-1
data scientist -Remote,$80K - $168K (Glassdoor est.),"Job Posting
: Dec 9, 2021
Job Posting End Date
: Jan 8, 2022
Location
: US-WA-Seattle-Starbucks Support Center
Starbucks - Business Strategy",3.8,"Starbucks
3.8","Seattle, WA",10000+ Employees,1971,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD)
Data Scientist,$77K - $145K (Glassdoor est.),"Job Description

NOTE: This is a Hybrid position within our IT Organization. The role will allow employees to work remotely, but will also require onsite work based on business needs. The selected candidate will be expected to live a commutable distance to the innovation center they are selected for. Relocation will be provided as needed.

We are targeting a start date on or after January 10th, 2022 for this position.

In recent years, GM Information Technology has successfully executed the largest IT transformation in the history of the automotive industry, fully insourcing what once was a nearly completely outsourced IT function. Today GM IT is a dynamic and fast paced organization that designs, develops and maintains all IT infrastructure, applications and solutions enabling GM's global operations. From designing and building the next generation of electric and other vehicles to developing a world-class GM experience for our dealers and customers, GM IT is driving real change in the most iconic automaker on the planet. Our team delivers unique enterprise-wide IT solutions in cutting-edge technologies such as mobility, telematics, mission-critical business systems, supercomputing, cloud, vehicle engineering and real-time computing. We offer challenging positions for passionate professionals looking to advance their careers and be a part of an IT organization focused on innovation, speed and business value.

As a Data Scientist, will be in Applying Data Science and Modeling techniques to tackle complex business problems. Are you driven and passionate about data analytics and data sciences? Can you lead with our vision for the future? Come be part of an industry whose vision is to change the future of mobility.
















Our vision is a world with Zero Crashes, Zero Emissions and Zero Congestion and we embrace the responsibility to lead the change that will make our world better, safer and more equitable for all.



We aspire to be the most inclusive company in the world. We believe we all must make a choice every day - individually and collectively - to drive meaningful change through our words, our deeds and our culture. Our Work Appropriately philosophy supports our foundation of inclusion and provides employees the flexibility to work where they can have the greatest impact on achieving our goals, dependent on role needs. Every day, we want every employee, no matter their background, ethnicity, preferences, or location, to feel they belong to one General Motors team.



The goal of the General Motors total rewards program is to support the health and well-being of you and your family. Our comprehensive compensation plan incudes, the following benefits, in addition to many others:



General Motors is committed to being a workplace that is not only free of discrimination, but one that genuinely fosters inclusion and belonging. We strongly believe that workforce diversity creates an environment in which our employees can thrive and develop better products for our customers. We understand and embrace the variety through which people gain experiences whether through professional, personal, educational, or volunteer opportunities.GM is proud to be an equal opportunity employer.

We encourage interested candidates to review the key responsibilities and qualifications and apply for any positions that match your skills and capabilities.



The policy of General Motors is to extend opportunities to qualified applicants and employees on an equal basis regardless of an individual's age, race, color, sex, religion, national origin, disability, sexual orientation, gender identity/expression or veteran status. Additionally, General Motors is committed to being an Equal Employment Opportunity (EEO) Employer and offers opportunities to all job seekers including individuals with disabilities. If you need a reasonable accommodation to assist with your job search or application for employment, email us atCareers.Accommodations@GM.com. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying.",4.0,"General Motors
4.0","Austin, TX",10000+ Employees,1908,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Junior Data Scientist,-1,"Pinata Scienes is looking for an up and coming Data Scientist. This data driven individual will work to support our data science team to deliver scalable solutions that provide real-word business value. In addition to building solutions, you must possess the aptitude and hunger to learn. As an energetic data scientist you will be responsible for taking in person findings and developing practical business solutions for our clients. In order to succeed in this role, you must be passionate about solving business problems using data science.
Come bust open some data with us!
MAIN REQUIREMENTS:
Some experience building and implementing predictive models
Excellent customer engagement skills",-1,PIÑATA SCIENCES,"Boston, MA",-1,-1,-1,-1,-1,-1
Data Scientist (MIPS),$92K - $185K (Glassdoor est.),"Verana Health partners with leading medical associations to transform clinical data into actionable real-world evidence. These partnerships enable Verana to harness the comprehensive data found in qualified clinical data registries and other specialty data sources to accelerate medical research and enhance patient care. Verana raised $100 million from investors including GV, formerly Google Ventures, and Bain Capital Ventures, showing a continued thirst for new data-driven approaches to treating disease.
Our team is reinventing how medical research happens with data and technology. This is a company built by and for people who are looking to get out of their comfort zone and try new things, who want to learn and grow quickly, and who seek to be part of a mission-driven team committed to improving patient lives. Our headquarters are located in San Francisco and we have additional offices in Knoxville, TN and New York City with employees working remotely in AZ, CA, CO, FL, GA, IL, LA, MA, NC, NJ, NY, OH, OR, PA, TN, TX, UT, VA, WA, WI. All employees are required to have permanent residency in one of these states. Candidates who are willing to relocate are also encouraged to apply.",3.4,"Verana Health
3.4","San Francisco, CA",51 to 200 Employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist -- Full-time,Employer Provided Salary:$150K,"Data Scientist -- Full-time, entry level
About Us
Denali System, a fast-growing start-up located in Silicon Valley, is committed to becoming the leading AIoT solution provider. We are dedicated to helping users break the barriers between technology, business, and data. Our goal is to help clients to discover the commercial value in the data.
Denali has built a series of industry solutions based on our platform in finance, transportation, security, public service, etc., and has reached in-depth cooperation with many enterprises, including one of the fortune 500 insurance companies. We are looking for a passionate Data Scientist to join our team and build an influential startup company with us!",3.0,"Denali System Co., Ltd
3.0","Mountain View, CA",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,-1,"· Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
· Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
· Assess the effectiveness and accuracy of new data sources and data gathering techniques.
· Develop custom data models and algorithms to apply to data sets.
· Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
· Coordinate with different functional teams to implement models and monitor outcomes.",-1,Orion Inc.,Remote,Unknown,-1,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Less than $1 million (USD)
Data Scientist,Employer Provided Salary:$80K - $120K,"Essential Functions & Responsibilities:
Extract data from internal and external databases.
Analyze exploratory data; clean, transform, and aggregate datasets.
Build tools to automate data collection.
Assist with various data analysis and modeling projects.
Understands business initiatives and is a primary analytics resource for business partners.
Develop, maintain and improve holistic datasets, reports, and dashboards to monitor company performance.
Determine analytical approaches to solve business objectives, using machine learning when applicable.",4.5,"Growers Edge Financial, Inc.
4.5","Johnston, IA",1 to 50 Employees,-1,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$55 - $65 Per Hour,"Job Title: Data Scientist
Location: Remote (TX)
Duration: 6 Month +
Requirements:
This role would be working on creating predictive models relating to home appliances. Determining which product family consumers are interested in and then generating the audience list to fit the marketing strategy.
They will also be helping on the back end reporting to determine effectiveness on the marketing campaign.",-1,TechLogix Inc,Remote,-1,-1,-1,-1,-1,-1
Data Architect/Scientist,$130K - $150K (Employer est.),"adroitts is is seeking Data Architect/Scientist for a software development program for the Federal government. We are looking for a Data Architect/Scientist. For this role, you should know how to analyze system requirements and implement migration methods for existing data. Hands-on experience with migrating mission critical databases across multiple database platforms. Ultimately, you will develop database migration solutions to ensure client information is stored effectively and securely.
Responsibilities include but are not limited to:
· Lead architectural discussions and design exercises to build and automate large scale migration of data.
· Architect, design and oversee the development of the database mapping and migration processes",-1,adroitts,Remote,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,$130K - $150K (Employer est.),"PRIMARY RESPONSIBILITIES:
· * Collaborate with the product team to build data products around audience monetization
· * Work hands-on to use large datasets and build, train and test machine learning models
· * Implement a variety of ML models based on the data product solving the business need
· * Demonstrate success with datasets using cloud ML platforms
·
Qualifications
· The successful candidate will have:",-1,4urHires INC,"New York, NY",-1,-1,-1,-1,-1,-1
Data Scientist,$130K - $150K (Employer est.),"Please apply here: https://app.dover.io/apply/gauntlet/b2b6fa80-236d-4683-891e-d9a5aeb2f567?rs=55634680
Gauntlet’s mission is to drive adoption and understanding of the financial systems of the future. Gauntlet is the platform for off-chain intelligence that drives on-chain efficiency in Decentralized Finance (DeFi). We work with protocols to manage risk, improve capital efficiency, and manage incentive spend. We also publish cutting-edge research and aim to take a leading role in defining market risk standards across the industry.
Gauntlet is building infrastructure that allows us to simulate and stress-test blockchain protocols, contracts, and network interactions at scale over a wide range of market conditions. Our models ingest a wide range of on-chain and off-chain data, and are continuously calibrated to the current crypto market structure so that our recommendations are always up-to-date. These models and infrastructure power our platform that currently manages risk and optimizes incentives for over $40B in assets.
You will be working as part of an experienced team that has developed simulation software for many other industries, including high-frequency trading, autonomous vehicles and ride-sharing, and the natural sciences.",-1,Gauntlet,Remote,-1,-1,-1,-1,-1,-1
"Data Scientist 1, People Analytics (remote position)",$130K - $150K (Employer est.),"Job Description
Nordstrom People Analytics team focuses on using organizational research, data science, and data analysis techniques to uncover employee and organizational insights that contribute to Nordstrom’s long-term success. The Data Scientist 1 will have hands-on experience with the development of data products, from data ingestion to deployment. They will focus on creating genuine business value through the alignment of technology, data, and business interests. Example projects include helping to identify the right people to recruit, staffing workers at the right time and place, and keeping employees happy and motivated to do their very best. In this role, excellent communication skills and a collaborative attitude will be crucial to effectively partnering with the aligned Technology and Data Science teams.
A day in the life…",3.7,"Nordstrom Inc
3.7","Seattle, WA",10000+ Employees,1901,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD)
Data Scientist,$130K - $150K (Employer est.),"Position Title: Data Scientist
Location: Remote, New York
Must be fully vaccinated for Covid-19 (at least two weeks after last vaccine dose) and present proof of upon hiring unless they qualify for a reasonable accommodation based on a disability or sincerely held religious belief (effective December 8, 2021).
Pernod Ricard USA (PRUSA) is part of the Pernod Ricard Group, the #2 alcohol beverage company in the world with a strong portfolio of brands such as Absolut Vodka, Chivas Regal, Avion Tequila, Jameson Irish Whiskey, and Kahlua, to name a few. At PRUSA, we are creators of conviviality: our purpose is to bring people together every day and create the moments that make life worth living. It means working with great people from diverse backgrounds who are passionate about our brands, our industry, and spirit.
A new division of Pernod Ricard is the introduction of our Transformation organization which spearheads data analytics, insights generation, IT strategy, e-commerce and digital growth. We’re looking for a passionate and talented Data Scientist to join our rapidly growing team. In this role, you’ll have the chance to roll up your sleeves and apply data science methods and analytics to sustain Pernod Ricard’s growth. Successful candidates are intellectually curious builders who are biased toward action, scrappy, entrepreneurial, and proactive. The Data Scientist will be physically and administratively based in the PR North America office in New York but will report into the Head of Data & Analytics based out of our Global HQ office in Paris.


2022-01-03-08:00",4.5,"Pernod Ricard
4.5",Remote,501 to 1000 Employees,1966,Company - Private,Food & Beverage Manufacturing,Manufacturing,$2 to $5 billion (USD)
Data Scientist (Remote),$130K - $150K (Employer est.),"At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses around the globe, from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners and the general public.

The Data Science & Analytics team performs analyses, builds models, and designs experiments that directly impact Yelp’s products and users. Our teams sit in Yelp’s central product management organization and work directly with cross-functional leaders to understand quantitatively how our products are performing and where the largest opportunities are. We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local economies. With diverse backgrounds and expertise, we strive for learning and growth in a collaborative environment.",3.5,"Yelp
3.5",Remote,5001 to 10000 Employees,2004,Company - Public,Internet,Information Technology,$500 million to $1 billion (USD)
"Data Scientist, Fraud, Talk",$130K - $150K (Employer est.),"Data, Research & Insights
Data Science
About Talk
Location
New York or Remote Americas
Job type
Permanent
Spotify is a global community of over 250 million music fans, artists, and now podcasters. It's always been our mission to make audio more accessible for everyone, and create innovative ways for creators and fans to connect with each other.

Talk is the team within Spotify responsible for building the best tools for audio creators. We have three platforms that help us deliver a great creator experience: Anchor (the platform that allows you to create, distribute, monetize, and grow a podcast, all for free), Spotify for Podcasters (the platform that makes it easy to understand and engage with your listeners on Spotify, and Greenroom (the platform that allows anyone to stream or listen to live audio).",4.2,"Spotify
4.2","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Sr Data Scientist,$130K - $150K (Employer est.),"Remote, United States
Los Gatos, California
Data Science and Engineering
At Netflix, our mission is to entertain the world. With 200+ million paid members in over 190 countries enjoying TV series, documentaries, and feature films across a wide variety of genres and languages, Netflix is reinventing entertainment from end to end. We are revolutionizing how shows and movies are produced, pushing technological boundaries to efficiently deliver streaming video at a massive scale over the internet, and continuously improving and personalizing how content is presented around the globe.

We are seeking Sr Data Scientists for a range of teams within Data Science and Engineering. From owning experimentation within the Open Connect network, building sophisticated tools on a world-class experimentation platform to provide seamless quality of experience, driving Growth and Membership of Netflix Platform, to unlocking the power of data in highly creative editorial creative space, evaluating the performance and optimizing personalization algorithms to deliver recommendations or building sophisticated experimentation tools - we have a few areas within which we are seeking Data Scientists driven by curiosity and passionate about working with a range of stakeholders.",4.2,"Netflix
4.2","Los Gatos, CA",5001 to 10000 Employees,1997,Company - Public,Internet,Information Technology,$5 to $10 billion (USD)
